Номер задачи;Найденное значение;Известное значение;Ошибка;Вычислений;Время(мс);Количество запусков;Успех
270;-4.0540529113;-4.0572072000;0.0031542887;440;0.1933000000;1;Да
271;-5.3432832404;-5.3483255000;0.0050422596;280;0.1211000000;1;Да
272;-3.5037892869;-3.5046036000;0.0008143131;280;0.1102000000;1;Да
273;-6.0679232041;-6.0706916000;0.0027683959;440;0.2876000000;1;Да
274;-3.6942448603;-3.6952462000;0.0010013397;200;0.0786000000;1;Да
275;-3.9520543034;-3.9574865000;0.0054321966;520;0.1952000000;1;Да
276;-6.1766225458;-6.1852022000;0.0085796542;240;0.1247000000;1;Да
277;-3.9984451945;-4.0035340000;0.0050888055;80;0.0335000000;1;Да
278;-6.8928854047;-6.9023422000;0.0094567953;360;0.1395000000;1;Да
279;-6.2832225193;-6.2926396000;0.0094170807;200;0.1100000000;1;Да
280;-5.4269494623;-5.4306537000;0.0037042377;80;0.0485000000;1;Да
281;-5.2890130420;-5.2896519000;0.0006388580;80;0.0332000000;1;Да
282;-4.7664243459;-4.7665463000;0.0001219541;280;0.1076000000;1;Да
283;-6.2289760438;-6.2301329000;0.0011568562;400;0.1526000000;1;Да
284;-5.2965370840;-5.2970940000;0.0005569160;600;0.2273000000;1;Да
285;-4.3074815750;-4.3084538000;0.0009722250;480;0.1906000000;1;Да
286;-5.8159614407;-5.8214442000;0.0054827593;80;0.0316000000;1;Да
287;-4.6431810039;-4.6481363000;0.0049552961;80;0.0312000000;1;Да
288;-6.0123296660;-6.0157560000;0.0034263340;360;0.1963000000;1;Да
289;-3.8231558410;-3.8302804000;0.0071245590;120;0.0819000000;1;Да
290;-6.2165060565;-6.2165310000;0.0000249435;360;0.2067000000;1;Да
291;-4.1309992682;-4.1322798000;0.0012805318;80;0.0651000000;1;Да
292;-3.5190858108;-3.5190858000;0.0000000108;80;0.0463000000;1;Да
293;-3.7263708884;-3.7263997000;0.0000288116;520;0.2152000000;1;Да
294;-4.8939943991;-4.8943848000;0.0003904009;440;0.1774000000;1;Да
295;-4.3444007251;-4.3482620000;0.0038612749;80;0.0666000000;1;Да
296;-3.0527705431;-3.0583193000;0.0055487569;80;0.0343000000;2;Да
